Industry,Skill shortages (%),Migrant(%),GDP(Million)
Accommodation and Food Services,56,17.6,64388
Arts and Recreation Services,47,11.4,20523
Retail Trade,45,13.7,115270
Mining,43,12.7,57726
Manufacturing,42,17,37870
Administrative and Support Services,42,17.2,90499
Wholesale Trade,40,17.2,106035
Information Media and Telecommunications,37,20.9,24069
Health Care and Social Assistance,37,20.5,218613
Construction,35,11,42419
"Agriculture, Forestry and Fishing",35,6.6,49807
"Professional, Scientific and Technical Services",35,22.4,46753
Financial and Insurance Services,33,23.1,125966
Other Services,31,13.9,42875
"Rental, Hiring and Real Estate Services",30,15,10566
"Transport, Postal and Warehousing",27,17.3,35764
