Industry,Migrant(%),GDP(Million)
Accommodation and Food Services,17.6,64388
Arts and Recreation Services,11.4,20523
Retail Trade,13.7,115270
Mining,12.7,57726
Manufacturing,17,37870
Administrative and Support Services,17.2,90499
Wholesale Trade,17.2,106035
Information Media and Telecommunications,20.9,24069
Health Care and Social Assistance,20.5,218613
Construction,11,42419
"Agriculture, Forestry and Fishing",6.6,49807
"Professional, Scientific and Technical Services",22.4,46753
Financial and Insurance Services,23.1,125966
Other Services,13.9,42875
"Rental, Hiring and Real Estate Services",15,10566
"Transport, Postal and Warehousing",17.3,35764
