Time,Natural increase,Net overseas migration
5-Sep,"130,362","130,819"
5-Dec,"134,156","137,009"
6-Mar,"133,543","143,153"
6-Jun,"131,973","146,753"
6-Sep,"136,595","166,253"
6-Dec,"139,793","182,196"
7-Mar,"146,327","205,033"
7-Jun,"151,225","232,796"
7-Sep,"151,295","238,660"
7-Dec,"153,327","244,030"
8-Mar,"154,155","261,444"
8-Jun,"154,432","277,338"
8-Sep,"154,320","298,648"
8-Dec,"155,794","315,687"
9-Mar,"154,693","310,921"
9-Jun,"156,343","299,866"
9-Sep,"158,728","278,259"
9-Dec,"159,237","246,900"
10-Mar,"161,691","218,063"
10-Jun,"162,566","196,058"
10-Sep,"161,846","175,318"
10-Dec,"157,978","172,038"
11-Mar,"157,003","173,149"
11-Jun,"155,714","180,372"
11-Sep,"154,518","194,040"
11-Dec,"156,050","206,240"
12-Mar,"157,854","219,276"
12-Jun,"158,822","231,947"
12-Sep,"158,708","239,848"
12-Dec,"163,064","240,248"
13-Mar,"162,153","237,462"
13-Jun,"161,958","230,329"
13-Sep,"162,611","221,214"
13-Dec,"158,791","208,379"
14-Mar,"158,305","202,191"
14-Jun,"156,976","187,778"
14-Sep,"155,718","183,735"
14-Dec,"156,565","182,345"
15-Mar,"154,285","181,080"
15-Jun,"151,779","184,033"
15-Sep,"150,622","184,227"
15-Dec,"148,985","186,730"
16-Mar,"151,267","195,976"
16-Jun,"154,351","206,233"
16-Sep,"154,883","229,509"
16-Dec,"153,212","243,829"
17-Mar,"150,436","259,585"
17-Jun,"147,602","263,351"
17-Sep,"142,603","259,426"
17-Dec,"142,005","241,661"
18-Mar,"142,279","237,997"
18-Jun,"142,604","238,224"
18-Sep,"145,498","242,320"
18-Dec,"145,721","252,220"
19-Mar,"143,667","250,669"
19-Jun,"141,719","241,338"
19-Sep,"140,531","242,035"
19-Dec,"139,003","247,620"
20-Mar,"136,444","239,245"
20-Jun,"134,819","192,703"
20-Sep,"134,057","75,627"
20-Dec,"130,926","-4,957"
21-Mar,"136,468","-94,326"
21-Jun,"139,479","-84,930"
21-Sep,"140,606","-55,378"
21-Dec,"143,012","9,304"
22-Mar,"133,565","131,018"
22-Jun,"125,397","207,912"
22-Sep,"115,911","348,629"
22-Dec,"108,633","437,857"
23-Mar,"105,492","495,833"
23-Jun,"102,860","538,341"
23-Sep,"106,019","555,798"
23-Dec,"105,755","530,620"
24-Mar,"105,392","493,823"
24-Jun,"105,202","429,162"
24-Sep,"104,389","365,629"
24-Dec,"101,411","330,062"
25-Mar,"107,433","310,493"
25-Jun,"114,556","304,812"
25-Sep,"112,604","310,991"
