Quarterly,Net overseas migration ('000),Through the year growth (%)
17-Dec,241.66,2.3
18-Mar,238,3
18-Jun,238.22,3.2
18-Sep,242.32,2.6
18-Dec,252.22,2.4
19-Mar,250.67,2.1
19-Jun,241.34,1.7
19-Sep,242.04,1.9
19-Dec,247.62,2.2
20-Mar,239.25,1.3
20-Jun,192.7,-5.9
20-Sep,75.61,-3.1
20-Dec,-4.97,-0.4
21-Mar,-94.34,2
21-Jun,-84.94,10.2
21-Sep,-55.38,4.7
21-Dec,9.3,4.9
22-Mar,131.02,3.7
22-Jun,207.91,3.8
22-Sep,348.63,6.2
22-Dec,437.86,3.2
23-Mar,495.83,2.8
23-Jun,538.34,2.3
23-Sep,555.8,2.2
23-Dec,530.62,1.3
24-Mar,493.82,1.1
24-Jun,429.16,0.9
24-Sep,364.82,0.8
24-Dec,329.94,1.2
25-Mar,311.27,1.3
25-Jun,305.57,1.9
