dot_id,longitude,latitude,SA2_Code,SA2_Name,State_Name,NOM_2024_25,Dot_Value
101021007_1,149.8357,-35.670496,101021007,Braidwood,New South Wales,10,100
101021008_1,149.226765,-35.374848,101021008,Karabar,New South Wales,38,100
101021009_1,149.226071,-35.342266,101021009,Queanbeyan,New South Wales,114,100
101021009_2,149.226008,-35.355417,101021009,Queanbeyan,New South Wales,114,100
101021010_1,149.26008,-35.366996,101021010,Queanbeyan - East,New South Wales,56,100
101021012_1,149.210483,-35.363155,101021012,Queanbeyan West - Jerrabomberra,New South Wales,89,100
101021610_1,149.232386,-35.424273,101021610,Googong,New South Wales,27,100
101021611_1,149.500934,-35.712708,101021611,Queanbeyan Surrounds,New South Wales,47,100
101031013_1,148.68145,-36.952575,101031013,Bombala,New South Wales,2,100
101031014_1,149.158555,-36.256741,101031014,Cooma,New South Wales,53,100
101031015_1,149.110032,-36.484097,101031015,Cooma Surrounds,New South Wales,4,100
101031016_1,148.397104,-36.813051,101031016,Jindabyne - Berridale,New South Wales,64,100
101041017_1,150.171966,-35.703866,101041017,Batemans Bay,New South Wales,26,100
101041018_1,150.207393,-35.775072,101041018,Batemans Bay - South,New South Wales,26,100
101041019_1,149.977302,-36.739124,101041019,Bega - Tathra,New South Wales,18,100
101041020_1,149.732718,-37.405034,101041020,Bega-Eden Hinterland,New South Wales,18,100
101041021_1,150.159082,-35.860052,101041021,Broulee - Tomakin,New South Wales,10,100
101041023_1,149.924886,-37.018401,101041023,Eden,New South Wales,4,100
101041024_1,150.031353,-36.176865,101041024,Eurobodalla Hinterland,New South Wales,6,100
101041025_1,149.846348,-36.895622,101041025,Merimbula - Tura Beach,New South Wales,36,100
101041026_1,150.071887,-35.973677,101041026,Moruya - Tuross Head,New South Wales,20,100
101041027_1,150.064548,-36.413685,101041027,Narooma - Bermagui,New South Wales,23,100
101051539_1,149.750811,-34.712976,101051539,Goulburn,New South Wales,122,100
101051539_2,149.676639,-34.75806,101051539,Goulburn,New South Wales,122,100
101051540_1,149.318336,-34.449796,101051540,Goulburn Surrounds,New South Wales,26,100
101061541_1,148.895588,-34.798838,101061541,Yass,New South Wales,22,100
101061542_1,149.077068,-35.074518,101061542,Yass Surrounds,New South Wales,40,100
101061543_1,148.387652,-34.347885,101061543,Young,New South Wales,28,100
101061544_1,148.452218,-34.228706,101061544,Young Surrounds,New South Wales,13,100
102011028_1,151.423101,-33.477264,102011028,Avoca Beach - Copacabana,New South Wales,68,100
102011029_1,151.400448,-33.514907,102011029,Box Head - MacMasters Beach,New South Wales,59,100
102011030_1,151.248418,-33.233637,102011030,Calga - Kulnura,New South Wales,24,100
102011031_1,151.424135,-33.403698,102011031,Erina - Green Point,New South Wales,94,100
102011032_1,151.338624,-33.428601,102011032,Gosford - Springfield,New South Wales,219,100
102011032_2,151.330463,-33.42451,102011032,Gosford - Springfield,New South Wales,219,100
102011032_3,151.3298,-33.412258,102011032,Gosford - Springfield,New South Wales,219,100
102011033_1,151.288359,-33.447871,102011033,Kariong,New South Wales,28,100
102011034_1,151.389518,-33.468452,102011034,Kincumber - Picketts Valley,New South Wales,33,100
102011035_1,151.339072,-33.396201,102011035,Narara,New South Wales,40,100
102011036_1,151.36471,-33.37294,102011036,Niagara Park - Lisarow,New South Wales,29,100
102011037_1,151.32594,-33.443941,102011037,Point Clare - Koolewong,New South Wales,35,100
102011038_1,151.336528,-33.476174,102011038,Saratoga - Davistown,New South Wales,36,100
102011039_1,151.418553,-33.455779,102011039,Terrigal - North Avoca,New South Wales,162,100
102011039_2,151.412628,-33.444597,102011039,Terrigal - North Avoca,New South Wales,162,100
102011040_1,151.304533,-33.525127,102011040,Umina - Booker Bay - Patonga,New South Wales,137,100
102011040_2,151.273161,-33.551214,102011040,Umina - Booker Bay - Patonga,New South Wales,137,100
102011041_1,151.478329,-33.39816,102011041,Wamberal - Forresters Beach,New South Wales,63,100
102011042_1,151.305861,-33.483925,102011042,Woy Woy - Blackwall,New South Wales,76,100
102011043_1,151.356349,-33.395405,102011043,Wyoming,New South Wales,48,100
102021044_1,151.456144,-33.362739,102021044,Bateau Bay - Killarney Vale,New South Wales,68,100
102021045_1,151.501076,-33.194743,102021045,Blue Haven - San Remo,New South Wales,39,100
102021046_1,151.552939,-33.234446,102021046,Budgewoi - Buff Point - Halekulani,New South Wales,26,100
102021047_1,151.420424,-33.32855,102021047,Chittaway Bay - Tumbi Umbi,New South Wales,67,100
102021048_1,151.51316,-33.247878,102021048,Gorokan - Kanwal - Charmhaven,New South Wales,85,100
102021049_1,151.351368,-33.145915,102021049,Jilliby - Yarramalong,New South Wales,16,100
102021050_1,151.588069,-33.196123,102021050,Lake Munmorah - Mannering Park,New South Wales,29,100
102021051_1,151.356797,-33.295569,102021051,Ourimbah - Fountaindale,New South Wales,27,100
102021052_1,151.559278,-33.136261,102021052,Summerland Point - Gwandalan,New South Wales,16,100
102021053_1,151.523054,-33.311132,102021053,The Entrance,New South Wales,99,100
102021054_1,151.553329,-33.250162,102021054,Toukley - Norah Head,New South Wales,22,100
102021055_1,151.415663,-33.321029,102021055,Tuggerah - Kangy Angy,New South Wales,40,100
102021056_1,151.484715,-33.258165,102021056,Warnervale - Wadalba,New South Wales,88,100
102021057_1,151.4324,-33.287067,102021057,Wyong,New South Wales,50,100
103011059_1,149.613789,-33.450551,103011059,Bathurst - East,New South Wales,45,100
103011060_1,149.468093,-33.606739,103011060,Bathurst Surrounds,New South Wales,11,100
103011061_1,149.780235,-34.033881,103011061,Oberon,New South Wales,9,100
