Industry,%
"Agriculture, Forestry and Fishing",1.5
Mining,0.9
Manufacturing,5
"Electricity, Gas, Water and Waste Services",0.5
Construction,5.1
Wholesale Trade,3.2
Retail Trade,7.9
Accommodation and Food Services,11.6
"Transport, Postal and Warehousing",5.2
Information Media and Telecommunications,1.5
Financial and Insurance Services,3.8
"Rental, Hiring and Real Estate Services",1.6
"Professional, Scientific and Technical Services",8.7
Administrative and Support Services,13.5
Public Administration and Safety,3.1
Education and Training,5.1
Health Care and Social Assistance,15.5
Arts and Recreation Services,1.5
Other Services,3.1
