Visa Category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bridging,"101,830","86,337","69,594","60,795","71,855","92,055","130,450","162,101","191,655","305,616","333,357","203,494","211,570","342,506","387,572"
Crew and Transit,"15,378","19,269","19,002","19,781","23,100","24,973","24,079","25,112","23,748","8,997","10,511","23,120","29,212","25,127","21,777"
Other Temporary,"2,093","1,997","1,997","2,057","2,169","2,358","2,767","2,977","3,240","4,835","3,541","3,519","3,588","3,626","3,536"
Special Category,"587,100","618,572","625,366","623,438","634,562","646,828","653,429","656,983","668,687","656,680","656,988","666,172","701,868","709,280","709,437"
Student,"254,682","242,192","257,781","303,169","328,129","355,755","383,913","433,624","480,543","449,932","315,949","456,970","547,075","522,183","477,890"
Temporary Graduate,"21,911","38,208","24,663","19,506","23,870","37,238","54,254","70,049","89,324","104,629","95,259","144,694","179,830","195,304","225,901"
Temporary Protection,,11,32,169,589,"3,933","10,306","14,193","16,509","17,919","18,801","23,447","10,554","4,481","1,726"
Temporary Resident (Other Employment),"18,254","18,850","20,799","22,445","23,461","24,840","27,217","30,178","33,323","29,309","45,593","106,490","162,309","65,459","53,427"
Temporary Resident (Skilled Employment),"128,694","157,114","169,068","167,911","159,905","150,223","138,143","136,007","119,160","110,338","90,737","105,319","130,451","166,830","215,768"
Visitor,"367,356","401,329","443,478","467,748","517,090","565,759","609,620","630,197","635,109","57,786","66,583","530,283","601,051","629,075","660,545"
Working Holiday Maker,"134,838","162,475","178,982","160,941","155,183","148,495","146,431","145,479","141,142","49,542","19,324","112,335","170,437","206,187","225,751"
Other,"57,636","78,335","66,493","63,958","73,189","93,342","118,623","142,509","166,144","165,689","173,705","301,270","385,493","293,997","306,367"
Grand Total,"1,632,136","1,746,354","1,810,762","1,847,960","1,939,913","2,052,457","2,180,609","2,306,900","2,402,440","1,795,583","1,656,643","2,375,843","2,747,945","2,870,058","2,983,330"
